"name","county","town","category_guess","address","phone","website","email","google_rating","review_count","business_status","contact_source","google_maps_url","place_id","contact_quality","discovery_score","notes","ready_for_import","flag_reason","official_email","official_phone","whatsapp_number","facebook_url","contact_page","principal_name","deputy_name","ict_contact","admissions_contact","email_source","phone_source","website_source","facebook_source","contact_confidence","last_verified"
"Kanju houses","Kirinyaga","Kutus","Unknown","Kutus, Kenya","+254 713 163633","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJERnB468pJhgRGWrt82ZEEvs","ChIJERnB468pJhgRGWrt82ZEEvs","Low","20","No website","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Karaini Secondary School","Kirinyaga","Kutus","Public Secondary","Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ47E8ME5-KBgRrc3vQMhSUpM","ChIJ47E8ME5-KBgRrc3vQMhSUpM","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Karia Secondary School","Kirinyaga","Kerugoya","Public Secondary","F8F3+2GM, Kerugoya, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJY02vlg4qJhgRE-1bIMeczTs","ChIJY02vlg4qJhgRE-1bIMeczTs","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Karima Secondary School.","Kirinyaga","Sagana","Public Secondary","Sagana, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ5_skBJabKBgRCY-OTm7NTsg","ChIJ5_skBJabKBgRCY-OTm7NTsg","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Karoti Girls High School","Kirinyaga","Kagio","Girls","P.O Box 251, Karoti Girls High School, Kenya","","","","","","","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ8dH9ORMmJhgRtmnEnv4JnDI","ChIJ8dH9ORMmJhgRtmnEnv4JnDI","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Karoti girls secondary school","Kirinyaga","Kagio","Girls","Kerugoya Kirinyaga, Kenya","+254 721 598649","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJxfmMlqQnJhgRnaAgj9HPzbU","ChIJxfmMlqQnJhgRnaAgj9HPzbU","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"KARUGURU JUNIOR TECH ACADEMY AND JUNIOR SECONDARY SCHOOL","Kirinyaga","Wanguru","Junior Secondary","karuguru road, Ruiru, Kenya","+254 722 642832","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ_xqNFGNBLxgRlL3evylBh9Y","ChIJ_xqNFGNBLxgRlL3evylBh9Y","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"KENIA COLLEGE (Kirinyaga Campus) Kerugoya","Kirinyaga","Kerugoya","Unknown","1222 Oop Kerugoya Main Stage, Kerugoya, Kenya","+254 708 771219","https://kuc.ac.ke/","","4.8","68","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJZyRfXUOBKBgRBKk0f99VECg","ChIJZyRfXUOBKBgRBKk0f99VECg","Medium","80","Website unreachable; Currently closed (per Google)","FALSE","out of scope: college; suspected website mismatch (school name not found in website domain — verify by hand); missing email","info@kuc.ac.ke","","","https://www.facebook.com/search/top?q=kenia%20college","https://kuc.ac.ke/contact","","","","","official_website:https://kuc.ac.ke","","https://kuc.ac.ke; https://kuc.ac.ke/contact; https://kuc.ac.ke/contact-us; https://kuc.ac.ke/about; https://kuc.ac.ke/about-us","official_website:https://kuc.ac.ke","Medium","2026-07-22"
"Kerugoya boys high school","Kirinyaga","Kerugoya","Boys","Kerugoya-Kutus Rd,Kerugoya Kirinyaga, Kerugoya, Kenya","+254 739 362317","http://kerugoyaboys.sc.ke/","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ0Uk8P82BKBgRBdoB8uvKSQM","ChIJ0Uk8P82BKBgRBdoB8uvKSQM","Medium","40","Website unreachable; Currently closed (per Google)","FALSE","missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kerugoya girls school","Kirinyaga","Kerugoya","Girls","Kerugoya Kirinyaga, G72H+79G, Kerugoya, Kenya","+254 60 21155","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ2SKRtYaBKBgRn-bA6DtRKb4","ChIJ2SKRtYaBKBgRn-bA6DtRKb4","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"KERUGOYA GOOD SHEPHERD'S ACADEMY","Kirinyaga","Kerugoya","Academy","KERUGOYA CENTRAL-KIRINYAGA KERUGOYA, Kutus, Kenya","+254 722 440762","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJW9QfM-uBKBgRTlTJ8_hFBzQ","ChIJW9QfM-uBKBgRTlTJ8_hFBzQ","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"KERUGOYA MUNICIPALITY BOARDING PRIMARY SCHOOL","Kirinyaga","Kerugoya","Unknown","BARICHO,Kerugoya Kirinyaga, Kenya","+254 722 451789","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJGRsEBPuBKBgRI61KqlhAKC8","ChIJGRsEBPuBKBgRI61KqlhAKC8","Low","20","No website; Currently closed (per Google)","FALSE","out of scope: primary school; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kerugoya Municipality Boarding Schools","Kirinyaga","Kerugoya","Unknown","185, Kerugoya, Kenya","+254 722 282702","https://www.kerugoyamunicipalityschools.ac.ke/","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJPd16wTSAKBgRKwjLq_927VA","ChIJPd16wTSAKBgRKwjLq_927VA","Medium","40","Website unreachable; Currently closed (per Google)","FALSE","missing email","info@kerugoyamunicipalityschools.ac.ke","","","https://www.facebook.com/KerugoyaMBPS","https://www.kerugoyamunicipalityschools.ac.ke/contact-us","","","","","contact_page:https://www.kerugoyamunicipalityschools.ac.ke/contact-us","","https://www.kerugoyamunicipalityschools.ac.ke/contact-us; https://www.kerugoyamunicipalityschools.ac.ke/about; https://www.kerugoyamunicipalityschools.ac.ke/about-us","contact_page:https://www.kerugoyamunicipalityschools.ac.ke/contact-us","High","2026-07-22"
"KERUGOYA MUNICIPLAITY ACADEMY","Kirinyaga","Kerugoya","Academy","KERUGOYA CENTRAL-KIRINYAGA KERUGOYA, Kutus, Kenya","+254 702 098182","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJj9zJyUKBKBgRIRMDPuoxiks","ChIJj9zJyUKBKBgRIRMDPuoxiks","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kerugoya Teachers College","Kirinyaga","Kerugoya","Unknown","G747+29R, Kerugoya, Kenya","+254 720 823790","","","5","2","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ2V_xE12AKBgR92OAnClVS_g","ChIJ2V_xE12AKBgR92OAnClVS_g","Low","40","No website; Currently closed (per Google)","FALSE","out of scope: college; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kerugoya Upperhill Academy","Kirinyaga","Kerugoya","Academy","Kiaritha, Kenya","+254 722 886631","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJPT4mJW-AKBgRvboeiJNXDe0","ChIJPT4mJW-AKBgRvboeiJNXDe0","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiaga Secondary School","Kirinyaga","Baricho","Public Secondary","C737+HMR Kiaga Primary School, Baricho, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJy2bbFtKCKBgRe-YTazdPiiw","ChIJy2bbFtKCKBgRe-YTazdPiiw","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiamugumo Gilrs Secondary School","Kirinyaga","Kianyaga","Public Secondary","P.O Box 58, Kenya","+254 735 532705","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJmY8v_MbTJxgR70Ev9ePBz7M","ChIJmY8v_MbTJxgR70Ev9ePBz7M","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiamutugu High School","Kirinyaga","Kutus","Public Secondary","Kerugoya Kirinyaga, Kiamutugu, Kenya","+254 705 222770","https://www.youtube.com/@kiamutuguboyshighschoolonl6811","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJlbheMF_TJxgREuTHbmJZ898","ChIJlbheMF_TJxgREuTHbmJZ898","Medium","40","Currently closed (per Google)","FALSE","suspected website mismatch (school name not found in website domain — verify by hand); missing email","","","","","https://www.youtube.com/@kiamutuguboyshighschoolonl6811/contact","","","","","","","https://www.youtube.com/@kiamutuguboyshighschoolonl6811; https://www.youtube.com/@kiamutuguboyshighschoolonl6811/contact; https://www.youtube.com/@kiamutuguboyshighschoolonl6811/contact-us; https://www.youtube.com/@kiamutuguboyshighschoolonl6811/about; https://www.youtube.com/@kiamutuguboyshighschoolonl6811/about-us","","Unknown","2026-07-22"
"Kiamutuira Mixed Day Sec. Sch","Kirinyaga","Kerugoya","Mixed Day","Kanyei, F7W3+CPH, Kerugoya, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJEcGMD-qBKBgRCfu4DAqe7yA","ChIJEcGMD-qBKBgRCfu4DAqe7yA","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiamwathi Mixed Secondary School","Kirinyaga","Kianyaga","Mixed Day","G83M+J7C, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ_RYbIq8rJhgRaF9fsr4SKBk","ChIJ_RYbIq8rJhgRaF9fsr4SKBk","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiamwathi Secondary School","Kirinyaga","Kianyaga","Public Secondary","P.O Box 129, Kianyaga Road, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJqUYtZtwqJhgRv5KdojUZ9HI","ChIJqUYtZtwqJhgRv5KdojUZ9HI","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiandangae secondary School","Kirinyaga","Baricho","Public Secondary","52 Baricho Kagio Rd, Baricho, Kenya","+254 745 623910","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJNxfkqHKDKBgRcsxT84pFjAU","ChIJNxfkqHKDKBgRcsxT84pFjAU","Low","20","No website","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiandegwa secondary school","Kirinyaga","Wanguru","Public Secondary","68WQ+C4J, Kiandegwa, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJg8n72oQfJhgReo956Js9Exg","ChIJg8n72oQfJhgReo956Js9Exg","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiandieri Secondary School","Kirinyaga","Kerugoya","Public Secondary","G7FQ+X48, Kerugoya, Kenya","+254 722 663091","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJW6QczuR_KBgRfSRS0Gs5fmg","ChIJW6QczuR_KBgRfSRS0Gs5fmg","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiangwnyi Mixed Secondary School","Kirinyaga","Kianyaga","Mixed Day","P.O Box 376, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ6eY5A4d_KBgR1i7UZOoJMyg","ChIJ6eY5A4d_KBgR1i7UZOoJMyg","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kĩanjege West Mixed Secondary School","Kirinyaga","Kerugoya","Mixed Day","P.O Box 1242, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJaaobewKFKBgR0_qvC0Jqf9I","ChIJaaobewKFKBgR0_qvC0Jqf9I","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kĩanyaga High School","Kirinyaga","Kutus","Public Secondary","P.O Box 20, Kenya","+254 700 573601","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJg5wv3w0rJhgRCiBP3R-LrCA","ChIJg5wv3w0rJhgRCiBP3R-LrCA","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kĩaragana Girls Secondary School","Kirinyaga","Kagio","Girls","Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJM5kzbEeHKBgR1970JPOB3Vo","ChIJM5kzbEeHKBgR1970JPOB3Vo","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiarugu Secondary School","Kirinyaga","Baricho","Public Secondary","F6PM+RX7 Kiarugu Secondary School, Baricho, Kenya","","","","","","","google_places","https://www.google.com/maps/place/?q=place_id:ChIJcwx0zxiBKBgRQUXPuHl_6xI","ChIJcwx0zxiBKBgRQUXPuHl_6xI","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kĩbĩrĩgwĩ Girls Secondary School","Kirinyaga","Kagio","Girls","F5CJ+HFH, Kibirigwi, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJg6rIjpGGKBgREp4TOtgMbXk","ChIJg6rIjpGGKBgREp4TOtgMbXk","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiburia Secondary School","Kirinyaga","Kianyaga","Public Secondary","Kianyaga, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ5YIe2BcrJhgRt59VRf5cq9k","ChIJ5YIe2BcrJhgRt59VRf5cq9k","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiine Mixed Day Secondary School","Kirinyaga","Kutus","Mixed Day","P.O Box 2055, Kirinyaga, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJwwiPYpSEKBgRqhZBAPiKqco","ChIJwwiPYpSEKBgRqhZBAPiKqco","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kinyakiiru Primary School","Kirinyaga","Baricho","Unknown","P.O Box 1, Kinyakiiru Primary School, Kenya","","","","","","","google_places","https://www.google.com/maps/place/?q=place_id:ChIJlwQ2rVeDKBgRWGatb0JBQ-E","ChIJlwQ2rVeDKBgRWGatb0JBQ-E","Unknown","0","No website; Phone missing","FALSE","out of scope: primary school; missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kiriiria Mixed Secondary School","Kirinyaga","Kianyaga","Mixed Day","RRH6+5WH, Tunyai, Kenya","+254 728 129245","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJq6qqvgaaJxgRREzvqG5V268","ChIJq6qqvgaaJxgRREzvqG5V268","Low","20","No website","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kirinyaga Central TVC","Kirinyaga","Mwea","Unknown","Kirinyaga Central Technical Vocational College, Kenya","","http://kirinyagacentraltvc.ac.ke/","","4.3","13","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJuwrPanmDKBgR8ArncC3wNDI","ChIJuwrPanmDKBgR8ArncC3wNDI","Low","60","Website unreachable; Phone missing; Currently closed (per Google)","FALSE","out of scope: TVC; missing phone; missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kirinyaga East Technical Institute","Kirinyaga","Kutus","Unknown","Kutus Business Centre, Kutus, Sagana Rd, Kutus, Kenya","+254 722 332557","","","4.2","5","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJOWBiabMpJhgRrZNnV49GINs","ChIJOWBiabMpJhgRrZNnV49GINs","Low","40","No website; Currently closed (per Google)","FALSE","out of scope: technical institute; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kirinyaga high school","Kirinyaga","Sagana","Public Secondary","Ruguru, Kenya","+254 710 454592","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJR-s7cDWZKBgRlZU56UOw-Sg","ChIJR-s7cDWZKBgRlZU56UOw-Sg","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kirinyaga Mary Immaculate Academy Secondary School","Kirinyaga","Kianyaga","Academy","P.O Box 1316, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ97A3x4Z_KBgRZTPo_BE4hpE","ChIJ97A3x4Z_KBgRZTPo_BE4hpE","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kirinyaga University","Kirinyaga","Kutus","Unknown","C74, Kutus- Kerugoya Rd, Kerugoya, Kenya","+254 709 742000","https://www.kyu.ac.ke/","info@kyu.ac.ke","4.2","675","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJgWN_o7UpJhgROXbDfePrnIU","ChIJgWN_o7UpJhgROXbDfePrnIU","High","100","Currently closed (per Google)","FALSE","out of scope: university; suspected website mismatch (school name not found in website domain — verify by hand)","info@kyu.ac.ke","","","https://www.facebook.com/kirinyagauniversity","https://www.kyu.ac.ke/contact-us","","","","","official_website:https://www.kyu.ac.ke","","https://www.kyu.ac.ke; https://www.kyu.ac.ke/contact-us","official_website:https://www.kyu.ac.ke","Verified","2026-07-22"
"kirinyaga university school island","Kirinyaga","Kutus","Unknown","C8MC+CX5, Kutus, Kenya","","","","4.9","10","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ2dnt9_cpJhgRbJn2g1v8V6o","ChIJ2dnt9_cpJhgRbJn2g1v8V6o","Unknown","20","No website; Phone missing","FALSE","out of scope: university; missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kutus Municipality Academy","Kirinyaga","Kutus","Academy","Kerugoya, Embu, Kenya","+254 721 676574","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ10StXjAoJhgRC2TGvlrfd6o","ChIJ10StXjAoJhgRC2TGvlrfd6o","Low","20","No website; Currently closed (per Google)","FALSE","address/name references Embu County, not Kirinyaga; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kutus Primary School","Kirinyaga","Kutus","Unknown","Kutus Primary School, C73, Kutus, Kenya","","","","","","","google_places","https://www.google.com/maps/place/?q=place_id:ChIJe2UJQrIpJhgRhqujX3lSWZA","ChIJe2UJQrIpJhgRhqujX3lSWZA","Unknown","0","No website; Phone missing","FALSE","out of scope: primary school; missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kutus Primary School Football Field","Kirinyaga","Kutus","Unknown","C8JG+QM8, C73, Kutus, Kenya","","","","5","3","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJa2DK2LIpJhgRov7DE72g1HE","ChIJa2DK2LIpJhgRov7DE72g1HE","Unknown","20","No website; Phone missing","FALSE","out of scope: football field; missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kutus Secondary School","Kirinyaga","Kutus","Public Secondary","C8PG+PRC, Kutus, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ__-_rLEpJhgRAf_EqOgL35M","ChIJ__-_rLEpJhgRAf_EqOgL35M","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kwa Waringa","Kirinyaga","Kagumo","Unknown","Kagumo Baricho, Kagio, Kenya","","http://www.speedmaxnet.com/","","4.1","88","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJoYmNoz5_KBgRTVZi28H-rbQ","ChIJoYmNoz5_KBgRTVZi28H-rbQ","Low","60","Website unreachable; Phone missing; Currently closed (per Google)","FALSE","suspected website mismatch (school name not found in website domain — verify by hand); missing phone; missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
"Lower Baricho Primary School","Kirinyaga","Baricho","Unknown","Lower Baricho Primary School, Baricho, Kenya","","","","","","","google_places","https://www.google.com/maps/place/?q=place_id:ChIJT2GAtLmDKBgR_AnmFaa1TAw","ChIJT2GAtLmDKBgR_AnmFaa1TAw","Unknown","0","No website; Phone missing","FALSE","out of scope: primary school; missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Lower Sagana Primary School","Kirinyaga","Sagana","Unknown","29, Sagana, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJAYzfy7WeKBgRmtO0MRcZDek","ChIJAYzfy7WeKBgRmtO0MRcZDek","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","out of scope: primary school; missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Master Education Centre","Kirinyaga","Kutus","Unknown","C73, Kenya","+254 706 217203","https://mastereducationcentre.ac.ke/","","3.7","3","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJIcwLGDUoJhgRiCfPKtY1XkI","ChIJIcwLGDUoJhgRiCfPKtY1XkI","Medium","60","Website unreachable; Currently closed (per Google)","FALSE","shares website with: MASTER EDUCATION CENTRE (verify: real duplicate vs. legitimate multi-branch chain); missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
"MASTER EDUCATION CENTRE","Kirinyaga","Kutus","Unknown","Kutus- Kerugoya Rd, Kerugoya, Kenya","+254 713 224988","https://mastereducationcentre.ac.ke/","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ_WGmXP4pJhgRvqCDela4wHA","ChIJ_WGmXP4pJhgRvqCDela4wHA","Medium","40","Website unreachable; Currently closed (per Google)","FALSE","shares website with: Master Education Centre (verify: real duplicate vs. legitimate multi-branch chain); missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
"MATHANGAUTA SECONDARY SCHOOL","Kirinyaga","Wanguru","Public Secondary","993G+XQ, Matandara, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ-VnxoRsnJhgROyIhxO7bjHM","ChIJ-VnxoRsnJhgROyIhxO7bjHM","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Millbrook International School","Kirinyaga","Kutus","Private Secondary","Kenyatta Highway, Kenya","+254 740 779580","http://millbrookschool.co.ke/","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJWR7QPcgtJhgRr0A37F848Ds","ChIJWR7QPcgtJhgRr0A37F848Ds","Medium","40","Website unreachable; Currently closed (per Google)","FALSE","missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
"Miracle Academy","Kirinyaga","Kianyaga","Academy","21 Road, Kianyaga, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJY-B5N9jVJxgRPuKpeSIdvP8","ChIJY-B5N9jVJxgRPuKpeSIdvP8","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Mt.Kenya Boys Senior School","Kirinyaga","Kerugoya","Boys","F7QQ+776, C74, Kerugoya, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJxTA-PNKBKBgRqljolT9Le2s","ChIJxTA-PNKBKBgRqljolT9Le2s","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Mugumo girls secondary school","Kirinyaga","Kagio","Girls","Kerugoya Kirinyaga, Kimunye, Kenya","+254 20 2052916","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ5x1QcZLVJxgRWPZDetgiLwY","ChIJ5x1QcZLVJxgRWPZDetgiLwY","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Mukangu Boys High School","Kirinyaga","Kutus","Boys","F564+WVV, Karima Bypass Road, Karatina, Kenya","+254 745 936767","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJfwUODPmHKBgRhCfo_JfN6rE","ChIJfwUODPmHKBgRhCfo_JfN6rE","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Mukinduri Mixed Day Secondary School","Kirinyaga","Kerugoya","Mixed Day","Kanyei, F7F7+XH3, Baricho, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJt7rO8NGBKBgRV1fQ7j29Z14","ChIJt7rO8NGBKBgRV1fQ7j29Z14","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Multiple Academy","Kirinyaga","Kagio","Academy","Kiandai Village, Kenya","+254 722 817723","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJS7rJBLGcKBgRApWHq2cIbtk","ChIJS7rJBLGcKBgRApWHq2cIbtk","Low","20","No website","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Muranga girls boarding secondary school","Kirinyaga","Kagio","Girls","Kabuta, Kenya","+254 791 486666","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJW61PajWZKBgRVFCbGgBb6no","ChIJW61PajWZKBgRVFCbGgBb6no","Low","20","No website","FALSE","address/name references Murang County, not Kirinyaga; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Mutira Girls High School","Kirinyaga","Kagio","Girls","G67J+84, Kagumo, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJz8C4GluBKBgRxdfyrXV9o4Y","ChIJz8C4GluBKBgRxdfyrXV9o4Y","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
